wd_id,line_id,line_wd,dipl,word,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
,,,VERS[US],,_,,,,,,,,,,,<text><body lang=&quot;pro&quot;><pb n=&quot;49r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f105.item&quot;/><lb/><docTitle>
,,,S[ANCTE],,_,,,,,,,,,,,
,,,MARIE,,.|,,,,,,,,,,</docTitle>,
,,,O,,_,,,,,,,,,,,
,,,maria,,–,,,,,,,,,,,
,,,deu,,–,,,,,,,,,,,
,,,maire,,–,,,,,,,,,,,
,,,deu,,+,,,,,,,,,,,
,,,t,,+,,,,,,,,,,,
,,,es,,–,,,,,,,,,,,
,,,e,,+,,,,,,,,,,,
,,,fils,,–,,,,,,,,,,,
,,,e,,+,,,,,,,,,,,
,,,paire,,–,,,,,,,,,,,
,,,Domna,,–,,,,,,,,,,,
,,,preia,,–,,,,,,,,,,,
,,,p[er],,_,,,,,,,,,,,
,,,nos,,–|,,,,,,,,,,,
,,,to,,_,,,,,,,,,,,
,,,fil,,–,,,,,,,,,,,
,,,lo,,_,,,,,,,,,,,
,,,glorios,,–,,,,,,,,,,,
,,,E,,_,,,,,,,,,,,
,,,lo,,_,,,,,,,,,,,
,,,pair,,–,,,,,,,,,,,
,,,aissamen,,–,,,,,,,,,,,
,,,p[re]ia,,–,,,,,,,,,,,
,,,p[er],,–,,,,,,,,,,,
,,,tota,,_,,,,,,,,,,,
,,,ien,,_,,,,,,,,,,,
,,,E,,_,,,,,,,,,,,
,,,c,,+,,,,,,,,,,,
,,,el,,_,,,,,,,,,,,
,,,no,,+,,,,,,,,,,,
,,,nos,,–,,,,,,,,,,,
,,,so|cor,,–,,,,,,,,,,,
,,,tor_nat,,–,,,,,,,,,,,
,,,nos,,–,,,,,,,,,,,
,,,es,,_,,,,,,,,,,,
,,,a,,+,,,,,,,,,,,
,,,plor,,_,,,,,,,,,,,
,,,Eua,,_,,,,,,,,,,,
,,,creet,,–,,,,,,,,,,,
,,,serp_en,,–,,,,,,,,,,,
,,,un,,+,,,,,,,,,,,
,,,a_gel,,–,,,,,,,,,,,
,,,resplanden,,–|,,,,,,,,,,,
,,,P[er],,_,,,,,,,,,,,
,,,so,,+,,,,,,,,,,,
,,,nos,,_,,,,,,,,,,,
,,,en,,+,,,,,,,,,,,
,,,uai,,_,,,,,,,,,,,
,,,gen,,–,,,,,,,,,,,
,,,deus,,–,,,,,,,,,,,
,,,n,,+,,,,,,,,,,,
,,,es,,–,,,,,,,,,,,
,,,om,,–,,,,,,,,,,,
,,,ueramen,,_,,,,,,,,,,,
,,,Car,,+,,,,,,,,,,,
,,,de,,_,,,,,,,,,,,
,,,femna,,_,,,,,,,,,,,
,,,nas_quet,,–|,,,,,,,,,,,
,,,deus,,_,,,,,,,,,,,<pb n=&quot;49v&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f106.item&quot;/>
,,,la,,+,,,,,,,,,,,
,,,femna,,_,,,,,,,,,,,
,,,saluet,,–,,,,,,,,,,,
,,,e,,+,,,,,,,,,,,
,,,pre_quo,,_,,,,,,,,,,,
,,,nas_quet,,_,,,,,,,,,,,
,,,hom,,–,,,,,,,,,,,
,,,que,,_,,,,,,,,,,,
,,,garit,,_,,,,,,,,,,,
,,,en,,+,,,,,,,,,,,
,,,fos,,–|,,,,,,,,,,,
,,,hom,,_,,,,,,,,,,,
