wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
,,,,,Chi,chi,_,fro,,,,qui,,,,,<text><body><pb n=&quot;163r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b10540990d/f333.item&quot;/><p><s xml:lang=&quot;fro&quot;>
,,,,,certe,certe,_,fro,,,,cert,,,,,
,,,,,cose,cose,_,fro,,,,chose,,,,,
,,,,,deit,deit,_,fro,,,,devoir2,,,,,
,,,,,enquerre,enquerre,.,fro,,,,enquérir,,,,,
,,,,,Ses,ses,+,fro,,,,son4,,,,,
,,,,,iunies,junies,_,fro,,,,jeûne,,,,,
,,,,,deit,deit,_,fro,,,,devoir2,,,,,
,,,,,faire,faire,.,fro,,,,faire,,,,,
,,,,,e,e,+,fro,,,,et,,,,,
,,,,,ses,ses,_,fro,,,,son4,,,,,
,,,,,elemosinas,elemosinas,.,lat,,,,eleemosyna,wiktionary,,,</s>,
,,,,,e,e,|,fro,,,,et,,,,,<s xml:lang=&quot;fro&quot;>
,,,,,ne,ne,_,fro,,,,ne,,,,,
,,,,,deit,deit,_,fro,,,,devoir2,,,,,
,,,,,estre,estre,_,fro,,,,être,,,,,
,,,,,e,e,_,---,,,,---,,,"lemma_FoersterKoschwitz:171,n.2",,
,,,,,missa,missa,.,lat,,,,missa,wiktionary,,,</s>,
,,,,,[et],et,_,fro,,,,et,,,,,<s xml:lang=&quot;fro&quot;>
,,,,,matinas,matinas,_,fro,,,,matines,,,,,
,,,,,deit,deit,_,fro,,,,devoir2,,,,,
,,,,,orer,orer,.,fro,,,,orer,,,,,
,,,,,e,e,+,fro,,,,et,,,,,
,,,,,ses,ses,_,fro,,,,son4,,,,,
,,,,,VII,set,_,fro,,,,sept,,,dipl_{te^s^ above line},,
,,,,,psalmes,psalmes,.,fro,,,,psaume,,,,,
,,,,,e,e,+,fro,,,,et,,,,,
,,,,,sa,sa,_,fro,,,,son4,,,,,
,,,,,letania,letania,.,fro,,,,litanie,,,,,
,,,,,e,e,+,fro,,,,et,,,,,
,,,,,ses,ses,|,fro,,,,son4,,,,,
,,,,,oratiuns,oratiuns,.,fro,,,,oration,,,,,
,,,,,[et],et,_,lat,,,,et,wiktionary,,,,
,,,,,aqua,aqua,_,lat,,,,aqua,wiktionary,,,,
,,,,,benedicta,benedicta,.,lat,,,,benedictus,wiktionary,,,</s></p>,
,,,,,A',antiphona,.,lat,,,,---,---,,,</s></label>,<p><list type=&quot;litany&quot;><label><s xml:lang=&quot;lat&quot;>
,,,,,N'os,nos,_,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,aute[m],autem,_,lat,,,,---,---,,,,
,,,,,gloriam,gloriam,.,lat,,,,---,---,,,</s></item>,
,,,,,p's,psalmus,.,lat,,,,---,---,,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,d[eu]s,deus,_,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,misereat[ur],misereatur,.,lat,,,,---,---,,,</s></item>,
,,,,,or',oratio,.,lat,,,,---,---,,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,D[eu]s,deus,|,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,q[ui],qui,+,lat,,,,---,---,,,,
,,,,,in,in,_,lat,,,,---,---,,,,
,,,,,p[re]clara,preclara,.,lat,,,,---,---,,,</s></item>,
,,,,,epl',epistula,.,lat,,,,---,---,,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,Fr[atre]s,fratres,",",lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,Confido,confido,_,lat,,,,---,---,,,,
,,,,,in,in,_,lat,,,,---,---,,,,
,,,,,uob[is],vobis,.,lat,,,,---,---,,,</s></item>,
,,,,,All,alleluia,.,lat,,,,---,---,,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,Nos,nos,+,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,aute[m],autem,.,lat,,,,---,---,,,</s></item>,
,,,,,All,alleluia,.,lat,,,,---,---,,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,Dulce,dulce,_,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,lignum,lignum,.|,lat,,,,---,---,,,</s></item>,
,,,,,Ev'g,evangelium,.,lat,,,,---,---,,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,Erat,erat,_,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,homo,homo,_,lat,,,,---,---,,,,
,,,,,ex,ex,_,lat,,,,---,---,,,,
,,,,,phariseis,phariseis,.,lat,,,,---,---,,,</s></item>,
,,,,,of',offerenda,.,lat,,,,---,---,,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,Protege,protege,_,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,d[omi]ne,domine,.,lat,,,,---,---,,,</s></item>,
,,,,,SECRETA,secreta,.,lat,,,,---,---,,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,Sacrifitiu[m],sacrifitium,_,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,d[omi]ne,domine,.|,lat,,,,---,---,,,</s></item>,
,,,,,Agn[us],agnus,_,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,d[e]i,dei,.,lat,,,,---,---,,,</s></item>,
,,,,,Agn[us],agnus,_,lat,,,,---,---,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,d[e]i,dei,.,lat,,,,---,---,,,</s></item></list></p>,
,,,,,Ore,ore,_,fro,,,,or2,,,,,<p><s xml:lang=&quot;fro&quot;>
,,,,,preiuns,preiuns,_,fro,,,,prier,,,,,
,,,,,deuine,devine,_,fro,,,,divin,,,,,
,,,,,misericordie,misericordie,.,fro,,,,miséricorde,,,,</s>,
,,,,,o,o,_,fro,,,,ô,,,,,<s xml:lang=&quot;fro&quot;>
,,,,,m'a,ma,+,fro,,,,mon,,,,,
,,,,,da[m]ne,damne,_,fro,,,,dame,,,,,
,,,,,s[an]c[t]a,sancta,_,lat,,,,saint,,,,,
,,,,,maria,maria,.|,lat,,,,Marie,wiktionary,,,,
,,,,,e,e,_,fro,,,,et,,,,,
,,,,,ma,ma,_,fro,,,,mon,,,,,
,,,,,da[m]ne,damne,_,fro,,,,dame,,,,,
,,,,,sainte,sainte,_,fro,,,,saint,,,,,
,,,,,cruiz,cruiz,.,fro,,,,croix,,,,,
,,,,,[et],et,_,fro,,,,et,,,,,
,,,,,ma,ma,_,fro,,,,mon,,,,,
,,,,,da[m]ne,damne,_,fro,,,,dame,,,,,
,,,,,s[an]c[t]a,sancta,_,lat,,,,saint,,,,,
,,,,,elena,elena,.,fro,,,,Hélène,wiktionary,,,,
,,,,,[et],et,_,fro,,,,et,,,,,
,,,,,toz,toz,_,fro,,,,tout,,,,,
,,,,,sainz,sainz,.,fro,,,,saint,,,,,
,,,,,[et],et,_,fro,,,,et,,,,,
,,,,,totes,totes,_,fro,,,,tout,,,,,
,,,,,saintes,saintes,.|,fro,,,,saint,,,,,
,,,,,[et],et,_,fro,,,,et,,,,,
,,,,,toz,toz,_,fro,,,,tout,,,,,
,,,,,les,les,_,fro,,,,le,,,,,
,,,,,fedelz,fedelz,_,fro,,,,fidèle,,,,,
,,,,,damine_deu,daminedeu,.,fro,,,,damedieu,,,,,
,,,,,q[ui],qui,_,lat,,,,qui,wiktionary,,,,
,,,,,trin[us],trinus,_,lat,,,,trinus,wiktionary,,,,
,,,,,e[st],est,_,lat,,,,sum,wiktionary,,,,
,,,,,i,i,+,lat,,,,in,wiktionary,,,,
,,,,,n_umero,numero,.,lat,,,,numerus,wiktionary,,,,
,,,,,[et],et,_,lat,,,,et,wiktionary,,,,
,,,,,un[us],unus,_,lat,,,,unus,wiktionary,,,,
,,,,,e[st],est,_,lat,,,,sum,wiktionary,,,,
,,,,,i,i,+,lat,,,,in,wiktionary,,,,
,,,,,n_homine[=nomine],nomine,.,lat,,,,nomen,wiktionary,,,,
,,,,,que,que,_,fro,,,,que,,,,,
,,,,,il,il,|,fro,,,,il,,,,,
,,,,,tot,tot,_,fro,,,,tout,,,,,
,,,,,preient,preient,_,fro,,,,prier,,,,,
,,,,,damine_deu,daminedeu,.,fro,,,,damedieu,,,,,
,,,,,que,que,_,fro,,,,que,,,,,
,,,,,il,il,_,fro,,,,il,,,,,
,,,,,declarast,declarast,_,fro,,,,déclarer,,,,,
,,,,,[et],et,_,fro,,,,et,,,,,
,,,,,il,il,_,fro,,,,il,,,,,
,,,,,demonstrast,demonstrast,_,fro,,,,démontrer,,,,,
,,,,,ceste,ceste,_,fro,,,,cist,,,,,
,,,,,cose,cose,.,fro,,,,chose,,,,,
,,,,,que,que,_,fro,,,,que,,,,,
,,,,,nuls,nuls,|,fro,,,,nul,,,,,
,,,,,uem,uem,_,fro,,,,homme,,,,,
,,,,,ne,ne,_,fro,,,,ne,,,,,
,,,,,puscet,puscet,_,fro,,,,pouvoir2,,,,,
,,,,,estre,estre,_,fro,,,,être,,,,,
,,,,,encolpet,encolpet,_,fro,,,,encoulper,,,,,
,,,,,si,si,_,fro,,,,si3,,,,,
,,,,,cil,cil,_,fro,,,,cil,,,,,
,,,,,n[on],non,_,fro,,,,non,,,,,
,,,,,chi,chi,_,fro,,,,qui,,,,,
,,,,,dreit,dreit,_,fro,,,,droit,,,,,
,,,,,í,i,_,fro,,,,y2,,,,,
,,,,,ad,ad,.,fro,,,,avoir,,,,</s>,
